activeaddresses,difficulty,difficulty30mom,difficulty30rsi,difficulty90mom,hashrate90var,median_transaction_fee30trxUSD,median_transaction_feeUSD,mining_profitability,mining_profitability90rsi,price30smaUSD,price30wmaUSD,price3emaUSD,price3wmaUSD,price7smaUSD,price90wmaUSD,sentinusd90emaUSD,sentinusd90smaUSD,size90trx,transactionvalueUSD,priceUSD
754220,3007383866430.0,404306566211.0,99.384,1660382435871.0,1.5279623779540999e+37,-2.545,0.597,1.031,48.31100000000001,9595.0,10131.0,11070.0,11127.0,10543.0,11264.0,19242531512,25363079684,0.024,50607.0,7004.0
651221,3007383866430.0,404306566211.0,99.384,1660382435871.0,1.530340290591e+37,-2.595,0.617,0.877,47.81,9679.0,10239.0,11170.0,11258.0,10775.0,11235.0,18973721183,25109851135,0.023,43800.0,7345.0
661842,3233581400367.0,630504100149.0,99.60600000000001,1886579969809.0,1.5361913392272001e+37,-2.645,0.521,0.88,47.817,9760.0,10359.0,11354.0,11420.0,11003.0,11212.0,18785104005,24832997356,0.022000000000000002,51625.0,7107.0
706253,3290605988755.0,687528688536.0,99.64,1882630684022.0,1.5498553558288998e+37,-2.693,0.457,0.894,47.868,9835.0,10442.0,11202.0,11250.0,11071.0,11178.0,18599955843,24451827113,0.021,50330.0,6780.0
771278,3290605988755.0,687528688536.0,99.64,1699709061497.0,1.5843651500568e+37,-2.74,0.306,0.789,47.521,9925.0,10480.0,10815.0,10821.0,11046.0,11131.0,18404147414,23974166557,0.02,45321.0,6673.0
762458,3290605988755.0,682735801462.0,99.64,1699709061497.0,1.587950527001e+37,-2.786,0.265,0.7879999999999999,47.519,10021.0,10468.0,10270.0,10180.0,10911.0,11070.0,18216860845,23632210166,0.019,50355.0,6916.0
710720,3290605988755.0,415931754339.0,99.64,1699709061497.0,1.6058452177119998e+37,-2.832,0.2,0.64,47.026,10054.0,10397.0,9598.0,9443.0,10615.0,10992.0,18053037754,23258854618,0.018000000000000002,54349.0,7020.0
636583,3290605988755.0,415931754339.0,99.64,1699709061497.0,1.5974968451259998e+37,-2.877,0.374,0.708,47.278,10087.0,10345.0,9425.0,9223.0,10313.0,10924.0,17783187408,23001843757,0.017,36997.0,6918.0
684854,3290605988755.0,415931754339.0,99.64,1699709061497.0,1.5733069968356998e+37,-2.92,0.304,0.789,47.582,10113.0,10279.0,9245.0,9105.0,9998.0,10852.0,17548181686,22586413589,0.016,47040.0,6805.0
737014,3290605988755.0,415931754339.0,99.64,1699709061497.0,1.5990237950535e+37,-2.963,0.214,0.718,47.341,10138.0,10237.0,9351.0,9292.0,9701.0,10791.0,17373983485,22073126417,0.015,51118.0,6912.0
640393,3290605988755.0,415931754339.0,99.64,1699709061497.0,1.6241384624947001e+37,-3.002,0.807,0.687,47.236999999999995,10170.0,10174.0,9261.0,9248.0,9432.0,10726.0,17314647001,21628613070,0.013999999999999999,74875.0,7355.0
467570,3290605988755.0,415931754339.0,99.64,1699709061497.0,1.6272166807268002e+37,-3.04,0.44299999999999995,0.662,47.151,10174.0,10085.0,9025.0,9027.0,9198.0,10654.0,17134476574,21189985118,0.012,47758.0,8008.0
494451,3290605988755.0,415931754339.0,99.64,1699709061497.0,1.6100899428096e+37,-3.0780000000000003,0.218,0.642,47.081,10156.0,9953.0,8574.0,8520.0,8969.0,10569.0,17105526514,20828808855,0.011000000000000001,76767.0,8025.0
489203,3290605988755.0,415931754339.0,99.64,1699709061497.0,1.5872860526851001e+37,-3.115,0.207,0.675,47.211999999999996,10132.0,9835.0,8451.0,8336.0,8884.0,10491.0,16920873853,20445998694,0.009000000000000001,46589.0,8241.0
367021,3290605988755.0,415931754339.0,99.64,1699709061497.0,1.5926867883167e+37,-3.1510000000000002,0.151,0.594,46.926,10074.0,9704.0,8275.0,8179.0,8719.0,10411.0,16981319080,20150063061,0.006,127447.0,8104.0
438266,3381698122496.0,507023888080.0,99.70200000000001,1663652289013.0,1.5940779762047001e+37,-3.187,0.131,0.596,46.935,9995.0,9551.0,7986.0,7936.0,8523.0,10324.0,16881871246,19659281903,0.004,75838.0,8075.0
483206,3462542391192.0,587868156776.0,99.742,1589436915970.0,1.6205473066067999e+37,-3.222,0.156,0.609,46.988,9917.0,9445.0,8173.0,8095.0,8367.0,10255.0,16755449423,19379285245,0.001,58157.0,8085.0
453198,3462542391192.0,587868156776.0,99.742,1589436915970.0,1.5882248901608002e+37,-3.2569999999999997,0.251,0.58,46.883,9846.0,9363.0,8407.0,8390.0,8291.0,10194.0,16598733409,19068230559,-0.002,49348.0,8242.0
466555,3462542391192.0,587868156776.0,99.742,1589436915970.0,1.5416366695982e+37,-3.29,0.205,0.708,47.405,9782.0,9308.0,8704.0,8775.0,8321.0,10143.0,16417904844,18836940602,-0.006,42996.0,8464.0
472231,3462542391192.0,494689053447.0,99.742,1589436915970.0,1.5032729198351e+37,-3.323,0.183,0.6409999999999999,47.16,9691.0,9246.0,8757.0,8845.0,8419.0,10090.0,16270399135,18648639848,-0.009000000000000001,52455.0,8820.0
501861,3462542391192.0,455158524762.0,99.742,1589436915970.0,1.4580926994491e+37,-3.355,0.17800000000000002,0.635,47.137,9614.0,9172.0,8653.0,8711.0,8451.0,10032.0,16096684471,18443312748,-0.012,46561.0,8913.0
410341,3462542391192.0,455158524762.0,99.742,1589436915970.0,1.4388398309636e+37,-3.386,0.163,0.665,47.263000000000005,9566.0,9125.0,8767.0,8758.0,8563.0,9984.0,15895810918,18303655600,-0.016,44331.0,8925.0
347133,3462542391192.0,455158524762.0,99.742,1589436915970.0,1.3964414089475e+37,-3.4160000000000004,0.174,0.588,46.974,9517.0,9060.0,8663.0,8665.0,8686.0,9929.0,15699402827,18103101231,-0.02,51497.0,9325.0
474697,3462542391192.0,455158524762.0,99.742,1589436915970.0,1.3400300357924e+37,-3.446,0.157,0.628,47.141999999999996,9459.0,8977.0,8450.0,8451.0,8668.0,9869.0,15657865347,17887208448,-0.024,73572.0,9231.0
503427,3462542391192.0,455158524762.0,99.742,1589436915970.0,1.3117795729433002e+37,-3.4739999999999998,0.155,0.601,47.041000000000004,9403.0,8882.0,8216.0,8163.0,8574.0,9804.0,15501660463,17576909486,-0.027999999999999997,45746.0,8894.0
452296,3462542391192.0,455158524762.0,99.742,1589436915970.0,1.2804401859130002e+37,-3.502,0.16,0.529,46.768,9336.0,8787.0,8078.0,8004.0,8422.0,9741.0,15364157081,17350487548,-0.032,52119.0,9228.0
461083,3462542391192.0,455158524762.0,99.742,1589436915970.0,1.2364803763396e+37,-3.53,0.146,0.597,47.06100000000001,9236.0,8672.0,7813.0,7751.0,8242.0,9670.0,15166526934,17046769615,-0.036000000000000004,33143.0,9249.0
479054,3462542391192.0,455158524762.0,99.742,1589436915970.0,1.2249760616824001e+37,-3.556,0.129,0.51,46.725,9112.0,8522.0,7360.0,7293.0,8008.0,9588.0,15027304049,16814124348,-0.04,47540.0,9365.0
377428,3462542391192.0,455158524762.0,99.742,1589436915970.0,1.1894325445248e+37,-3.582,0.127,0.46299999999999997,46.54600000000001,8991.0,8387.0,7192.0,7073.0,7743.0,9509.0,14835563040,16640530925,-0.045,42448.0,9304.0
358431,3494288842680.0,486904976250.0,99.762,1571708237699.0,1.1551575850127e+37,-3.6069999999999998,0.128,0.551,46.934,8852.0,8247.0,7009.0,6906.0,7495.0,9428.0,14635263420,16451489507,-0.05,42395.0,9004.0
