difficulty30rsi,difficulty90var,fee_to_reward90rsiUSD,hashrate30var,median_transaction_fee7rocUSD,mining_profitability,price30smaUSD,price3wmaUSD,price7wmaUSD,sentinusd90emaUSD,size90trx,top100cap,transactionvalueUSD,priceUSD
71.753,5.2794017951781e+19,54.485,1.1071024894011e+34,-7.733,0.672,614.3919999999999,572.754,576.072,1375986926,0.102,18.726,4826.0,580.74
71.753,5.2924685109615e+19,53.012,1.1075056138153e+34,-12.395999999999999,0.757,611.2230000000001,573.7719999999999,574.623,1375080602,0.10099999999999999,18.708,5576.0,575.66
71.753,5.2923360901228e+19,53.363,1.1495534854254001e+34,7.146,0.715,608.129,574.3380000000001,574.007,1374853058,0.10099999999999999,18.692,5549.0,578.283
71.753,5.2882434768958e+19,52.305,1.4215676968265e+34,-5.638,0.6629999999999999,597.911,583.119,580.234,1350779513,0.096,18.516,5109.0,576.744
71.753,5.4537090854455e+19,51.23,1.1612477672308999e+34,-15.068,0.743,587.678,575.7959999999999,578.177,1331167647,0.092,18.617,4398.0,579.773
76.385,5.5964464570264e+19,51.512,1.2027240082154e+34,-1.271,0.75,580.253,575.364,575.395,1305090736,0.087,18.521,4186.0,606.793
76.385,5.6702456037636e+19,52.159,1.2004752137691e+34,-13.446,0.631,578.72,575.294,574.986,1298828899,0.086,18.317,4545.0,610.021
76.385,5.7326907181985e+19,51.993,1.1665387878847e+34,-3.701,0.68,577.981,574.146,574.4540000000001,1292726443,0.085,18.447,4314.0,621.285
76.385,5.783781800331e+19,50.976000000000006,1.1928143808630998e+34,-11.058,0.6779999999999999,578.681,573.354,574.04,1284385056,0.084,18.477999999999998,4046.0,622.6030000000001
76.385,5.8235188501629e+19,51.397,1.2117060358803001e+34,-4.26,0.629,578.9119999999999,576.456,575.4580000000001,1272809029,0.08199999999999999,18.482,4161.0,623.9019999999999
76.385,5.8519018676907e+19,49.521,1.2305859795427001e+34,-7.724,0.823,579.952,590.891,582.786,1260217876,0.081,18.529,3823.0,620.306
76.385,5.8689308529195e+19,51.787,1.2564274392338e+34,-5.501,0.623,580.9580000000001,600.846,589.325,1255307531,0.08,18.535999999999998,4556.0,607.225
76.385,5.796380092015e+19,51.733999999999995,1.2624174827062998e+34,-8.756,0.71,581.538,605.975,595.057,1249045380,0.078,18.572,4183.0,609.126
76.385,5.6978950971917e+19,51.409,1.2173127214747e+34,5.25,0.736,582.237,608.2130000000001,600.5219999999999,1243069813,0.077,18.623,3898.0,610.447
76.385,5.58435287868e+19,51.34,1.1782993594419998e+34,-9.252,0.7120000000000001,583.41,615.115,607.534,1237939446,0.076,18.641,4450.0,609.706
