activeaddresses,difficulty90mom,fee_to_rewardUSD,hashrate3mom,median_transaction_feeUSD,mining_profitability,price30emaUSD,price3wmaUSD,price7wmaUSD,price90emaUSD,transactionvalueUSD,priceUSD
525778,78377184391.0,4.68,1.77769506320751e+17,0.177,0.652,883.9630000000001,821.613,856.1669999999999,793.492,9502.0,781.2919999999999
513655,78377184391.0,4.921,6.35376983431365e+17,0.182,0.552,878.882,803.5889999999999,839.015,793.7489999999999,7045.0,805.197
487220,78377184391.0,3.886,-1.30631058744713e+17,0.168,0.705,875.443,811.405,831.345,794.449,5109.0,825.581
475729,78377184391.0,3.792,1.17249349520675e+17,0.165,0.628,871.617,817.4639999999999,822.7360000000001,794.926,5963.0,816.1419999999999
513070,78377184391.0,4.68,-1.39330630071214e+16,0.179,0.64,868.665,822.575,819.8660000000001,795.6060000000001,6440.0,825.8610000000001
551064,78377184391.0,5.251,4.83082744344131e+16,0.19699999999999998,0.682,868.955,847.8919999999999,831.138,797.31,6891.0,873.1619999999999
574624,78377184391.0,5.446000000000001,-1.16562746416723e+17,0.2,0.648,869.86,870.191,845.7919999999999,799.193,5762.0,882.9860000000001
620881,78377184391.0,4.916,-1.94732158100462e+17,0.193,0.764,871.175,884.9739999999999,860.8430000000001,801.194,7709.0,890.2360000000001
587282,79364667968.0,4.252,2.91354796490789e+17,0.183,0.7440000000000001,872.54,890.075,872.5269999999999,803.197,7739.0,892.331
552658,83281686154.0,4.016,4.77352681864598e+17,0.18600000000000003,0.6779999999999999,875.27,903.242,886.7289999999999,805.6510000000001,5319.0,914.8510000000001
495222,85859310501.0,3.8539999999999996,3.06896102382632e+17,0.187,0.701,878.212,914.112,899.25,808.184,4410.0,920.8789999999999
550007,139345015703.0,5.947,2.12855735061006e+17,0.21600000000000003,0.531,880.784,918.477,907.331,810.5989999999999,5962.0,918.084
603034,139345015703.0,7.142,-4.70304321415446e+17,0.22699999999999998,0.6709999999999999,882.423,912.597,909.143,812.7,6369.0,906.179
614252,139345015703.0,6.7620000000000005,-8.19074146906788e+16,0.217,0.618,883.18,902.1519999999999,906.77,814.49,5662.0,894.1560000000001
627055,139345015703.0,5.997999999999999,-9.18086241763564e+16,0.215,0.605,884.523,901.08,906.4580000000001,816.457,6121.0,903.9960000000001
605182,139345015703.0,5.0969999999999995,5.21315285243172e+17,0.21,0.634,886.466,907.681,908.316,818.615,6250.0,914.645
555265,139345015703.0,6.062,2.32947962149242e+17,0.22,0.593,888.427,913.98,909.933,820.7739999999999,4645.0,916.865
566127,139345015703.0,5.433,-4.79878945959972e+16,0.223,0.6659999999999999,890.177,915.8380000000001,911.1489999999999,822.857,5209.0,915.551
545227,139345015703.0,6.9879999999999995,-1.59865327976899e+17,0.24100000000000002,0.5770000000000001,891.824,915.846,912.5930000000001,824.898,5469.0,915.703
569731,139345015703.0,7.442,-2.25573663957137e+17,0.275,0.633,894.7760000000001,926.613,919.59,827.3739999999999,5457.0,937.573
675244,139345015703.0,6.067,3.81530991072392e+17,0.24600000000000002,0.725,899.568,949.672,933.3380000000001,830.488,5743.0,969.061
583892,139345015703.0,6.765,4.7685854250205e+17,0.297,0.5870000000000001,905.34,973.801,949.404,833.9730000000001,7053.0,989.0360000000001
606928,138997403636.0,8.025,-2.59841168115934e+17,0.311,0.774,912.02,995.625,967.393,837.817,7600.0,1009.0
592108,138951560552.0,7.155,-2.78292495304924e+17,0.29,0.627,918.576,1008.0,983.206,841.681,7563.0,1014.0
571232,167550379580.0,6.416,-4.01110603274782e+17,0.29100000000000004,0.6859999999999999,924.8889999999999,1014.0,996.2639999999999,845.5219999999999,6261.0,1016.0
556820,167550379580.0,9.026,3.67681942900062e+17,0.34700000000000003,0.581,930.834,1016.0,1006.0,849.291,7422.0,1017.0
629062,167550379580.0,8.3,-3.61049486683664e+17,0.322,0.77,937.732,1027.0,1017.0,853.433,6502.0,1038.0
594709,167550379580.0,7.931,9.59062373299968e+16,0.332,0.6409999999999999,944.92,1040.0,1027.0,857.735,6666.0,1049.0
641833,167550379580.0,7.621,3.20619189923104e+17,0.317,0.701,949.7360000000001,1032.0,1028.0,861.291,9404.0,1020.0
574235,167550379580.0,7.072,4.74942452132943e+17,0.302,0.5920000000000001,951.253,1001.0,1015.0,863.752,8848.0,973.2439999999999
